fullname,first_name,last_name,username,gender,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
Brandea Parman,Brandea,Parman,bparmanj2,Female,1372,1778,1618,1013,326,25,5,2,1
Findley Brosnan,Findley,Brosnan,fbrosnanf2,Male,50,0,13,49,1,0,0,0,0
Alvera Barth,Alvera,Barth,abarth1o,Female,469,17,0,469,0,0,0,0,0
Colver Nand,Colver,Nand,cnandc0,Male,600,13,0,600,0,0,0,0,0
Austen Sulland,Austen,Sulland,asullandc0,Male,386,15,14,386,0,0,0,0,0
Adham Fuster,Adham,Fuster,afusterf6,Male,129,9,3,129,0,0,0,0,0
Ranna Fish,Ranna,Fish,rfish94,Female,2020,12,26,2020,0,0,0,0,0
Borg de Clerc,Borg,de Clerc,bdeh9,Male,124,305,109,91,30,1,2,0,0
Brittni Elgy,Brittni,Elgy,belgy5g,Female,186,235,46,163,19,0,3,0,1
Rivi Ply,Rivi,Ply,rplyhb,Female,1143,1242,588,909,220,5,5,1,3
Laurene Soloway,Laurene,Soloway,lsolowayis,Female,99,325,73,84,15,0,0,0,0
Lenci Veillard,Lenci,Veillard,lveillardaw,Male,133,19,2,115,13,4,1,0,0
Carlynn Kos,Carlynn,Kos,ckos3e,Female,46,0,0,45,1,0,0,0,0
Kalindi Raymond,Kalindi,Raymond,kraymondkr,Female,305,1415,418,186,117,1,1,0,0
Shem Spoor,Shem,Spoor,sspoorjx,Male,151,328,135,92,52,0,3,0,4
Clemmy Gaywood,Clemmy,Gaywood,cgaywood7,Male,271,6,0,271,0,0,0,0,0
Fernande Backhurst,Fernande,Backhurst,fbackhurst1,Female,61,83,64,55,6,0,0,0,0
Hewie Meehan,Hewie,Meehan,hmeehan1m,Male,3639,175,101,3639,0,0,0,0,0
Roderich Ilyas,Roderich,Ilyas,rilyas2l,Male,137,497,71,76,48,2,11,0,0
Meridel Gilburt,Meridel,Gilburt,mgilburt9g,Female,314,1488,446,206,106,0,0,0,2
Valentine Lent,Valentine,Lent,vlentl1,Male,52,0,6,51,1,0,0,0,0
Ernesta Wakes,Ernesta,Wakes,ewakesa7,Female,3,0,0,3,0,0,0,0,0
Elli Vanelli,Elli,Vanelli,evanelli2d,Female,66,0,5,65,1,0,0,0,0
Leta Bothbie,Leta,Bothbie,lbothbieml,Female,40,2,4,39,1,0,0,0,0
Benedetto Cuel,Benedetto,Cuel,bcuelhz,Male,248,247,34,208,33,3,2,0,2
Cordell Rumsey,Cordell,Rumsey,crumseybx,Male,1,0,0,1,0,0,0,0,0
Becki Eglise,Becki,Eglise,beglisepk,Female,97,29,0,97,0,0,0,0,0
Lani Hussey,Lani,Hussey,lhussey0,Female,159,175,233,122,36,0,1,0,0
Coleman Chetter,Coleman,Chetter,cchetterfk,Male,1048,3740,974,866,165,5,8,1,3
Costa Currall,Costa,Currall,ccurrall17,Male,243,0,0,243,0,0,0,0,0
Hugibert Redholls,Hugibert,Redholls,hredhollsec,Male,138,119,81,116,19,2,0,0,1
Sully Tabourel,Sully,Tabourel,stabourelov,Male,34,0,0,34,0,0,0,0,0
Branden O'Fihillie,Branden,O'Fihillie,bofihillien9,Male,287,709,196,171,109,0,4,1,2
Raoul Irons,Raoul,Irons,rironsjt,Male,147,4,1,147,0,0,0,0,0
Venus Fernier,Venus,Fernier,vfernierqz,Female,782,11,0,782,0,0,0,0,0
Clio Trenbay,Clio,Trenbay,ctrenbay3o,Female,134,360,65,107,27,0,0,0,0
Brice Helder,Brice,Helder,bhelder13,Male,23,0,0,23,0,0,0,0,0
Briana Stanlike,Briana,Stanlike,bstanlike5p,Female,236,703,141,155,76,2,3,0,0
Garvy Rivaland,Garvy,Rivaland,grivaland2j,Male,1228,887,408,865,259,89,9,3,3
Corrina Cottell,Corrina,Cottell,ccottell8j,Female,252,885,242,182,70,0,0,0,0
Sigfrid Pinch,Sigfrid,Pinch,spinchae,Male,1781,162,30,1781,0,0,0,0,0
Worth Dullingham,Worth,Dullingham,wdullingham25,Male,12,0,0,12,0,0,0,0,0
Mac O'Leagham,Mac,O'Leagham,moleaghamf7,Male,50,3,0,50,0,0,0,0,0
Carmen Eglaise,Carmen,Eglaise,ceglaiseck,Female,14,0,0,14,0,0,0,0,0
Scot Lagen,Scot,Lagen,slagen7y,Male,8,0,1,8,0,0,0,0,0
Brit Wellsman,Brit,Wellsman,bwellsmanr,Female,235,1278,212,171,60,2,1,0,1
Klement Daft,Klement,Daft,kdaftqb,Male,110,0,1,110,0,0,0,0,0
Bartie Tock,Bartie,Tock,btocknk,Male,1092,17,23,1092,0,0,0,0,0
Iormina Ebbotts,Iormina,Ebbotts,iebbotts41,Female,172,555,240,121,49,1,1,0,0
Jorrie Orsay,Jorrie,Orsay,jorsaynm,Female,969,46,4,969,0,0,0,0,0
Art Cocci,Art,Cocci,acocci79,Male,3,0,0,3,0,0,0,0,0
Dianemarie Bromby,Dianemarie,Bromby,dbrombyq2,Female,242,415,112,158,78,0,5,0,1
Stesha Loseke,Stesha,Loseke,slosekedg,Female,7,0,0,7,0,0,0,0,0
Jsandye Oliveto,Jsandye,Oliveto,jolivetod6,Female,3,0,0,3,0,0,0,0,0
Tammie Elflain,Tammie,Elflain,telflain8k,Female,228,4267,572,175,33,0,19,1,0
Molli Kilmurray,Molli,Kilmurray,mkilmurrayl6,Female,0,0,0,0,0,0,0,0,0
Farra Misselbrook,Farra,Misselbrook,fmisselbrook1a,Female,22,0,2,22,0,0,0,0,0
Beau MacManus,Beau,MacManus,bmacmanusd1,Male,252,5,24,249,3,0,0,0,0
Annette Carnier,Annette,Carnier,acarnier1n,Female,113,15,0,113,0,0,0,0,0
Roxi Acutt,Roxi,Acutt,racuttj3,Female,36,0,15,36,0,0,0,0,0
Birch Spillman,Birch,Spillman,bspillmanh6,Male,146,396,170,104,38,1,2,1,0
Tamarra Bigland,Tamarra,Bigland,tbigland2g,Female,29,0,0,29,0,0,0,0,0
Zia Janoschek,Zia,Janoschek,zjanoschekr3,Female,9,0,0,9,0,0,0,0,0
Konstantine Shortin,Konstantine,Shortin,kshortinpk,Male,0,0,0,0,0,0,0,0,0
Desi Paton,Desi,Paton,dpatonb3,Male,307,2099,208,258,43,2,2,1,1
Connie Setter,Connie,Setter,csetter17,Male,223,944,93,184,37,0,1,0,1
Reynard McVeighty,Reynard,McVeighty,rmcveightymh,Male,285,866,53,221,62,0,2,0,0
Cristiano Seamarke,Cristiano,Seamarke,cseamarke95,Male,62,2,0,62,0,0,0,0,0
Morgen Weatherburn,Morgen,Weatherburn,mweatherburnmw,Female,626,9,0,626,0,0,0,0,0
Matt McLanachan,Matt,McLanachan,mmclanachan20,Male,9,0,0,9,0,0,0,0,0
Katherina Neiland,Katherina,Neiland,kneilandez,Female,41,0,4,41,0,0,0,0,0
Hinda Birnie,Hinda,Birnie,hbirnie2e,Female,778,24,2,778,0,0,0,0,0
Ronny Tomaszewicz,Ronny,Tomaszewicz,rtomaszewicz73,Male,42,89,295,35,7,0,0,0,0
Inger Heijne,Inger,Heijne,iheijne8m,Female,188,242,6,187,1,0,0,0,0
Mag Helmke,Mag,Helmke,mhelmkejw,Female,0,0,0,0,0,0,0,0,0
Jacynth Petras,Jacynth,Petras,jpetraspd,Female,158,324,215,119,33,1,5,0,0
Leilah Grant,Leilah,Grant,lgrantad,Female,159,3146,123,139,16,0,1,2,1
Mannie Hatherley,Mannie,Hatherley,mhatherleyj0,Male,379,5491,466,190,161,5,20,2,1
Glori Greim,Glori,Greim,ggreim48,Female,163,269,243,105,53,1,4,0,0
Paige Gallon,Paige,Gallon,pgallon5u,Male,161,579,202,118,40,1,2,0,0
Marisa Littledike,Marisa,Littledike,mlittledikef2,Female,148,348,169,90,53,3,1,1,0
Ivory Ecclestone,Ivory,Ecclestone,iecclestone9q,Female,135,1,2,135,0,0,0,0,0
Albert Boas,Albert,Boas,aboasn2,Male,144,347,119,84,56,2,1,0,1
Ingunna Lernihan,Ingunna,Lernihan,ilernihan1q,Female,176,540,54,152,20,0,1,2,1
Annmarie Moors,Annmarie,Moors,amoors6u,Female,371,1233,158,296,70,2,3,0,0
Wayland Pirdy,Wayland,Pirdy,wpirdy8t,Male,322,1503,491,201,113,1,2,2,3
Zerk Anstie,Zerk,Anstie,zanstiekm,Male,2,0,0,2,0,0,0,0,0
Jacinda Clem,Jacinda,Clem,jclem14,Female,270,898,233,174,91,2,3,0,0
Vittorio Napolione,Vittorio,Napolione,vnapolionemo,Male,148,390,210,123,24,1,0,0,0
Inglis Jurn,Inglis,Jurn,ijurnd8,Male,204,1059,235,134,66,0,2,2,0
Vonnie Hazeldean,Vonnie,Hazeldean,vhazeldean3y,Female,403,525,42,363,36,1,3,0,0
Korie Siviour,Korie,Siviour,ksiviour2m,Female,0,0,0,0,0,0,0,0,0
Karyl Paton,Karyl,Paton,kpatono,Female,14,0,0,14,0,0,0,0,0
Tabitha Rivaland,Tabitha,Rivaland,trivaland8b,Female,180,84,4,171,8,1,0,0,0
Priscilla Pomery,Priscilla,Pomery,ppomeryk,Female,300,633,55,263,37,0,0,0,0
Salome Mawson,Salome,Mawson,smawsonp6,Female,354,184,1,306,44,0,3,0,1
Rori Markwell,Rori,Markwell,rmarkwellhp,Female,323,12,1,323,0,0,0,0,0
Rozelle Henrichs,Rozelle,Henrichs,rhenrichs5e,Female,4,0,0,4,0,0,0,0,0
Hilarius Groveham,Hilarius,Groveham,hgrovehamfy,Male,33,0,0,30,0,3,0,0,0
Jeane Carslaw,Jeane,Carslaw,jcarslaw3a,Female,45,1,0,45,0,0,0,0,0
Fleur Jaffrey,Fleur,Jaffrey,fjaffreyf8,Female,13,0,0,13,0,0,0,0,0
Christos Gallardo,Christos,Gallardo,cgallardo6e,Male,288,953,304,185,100,1,2,0,0
Ulberto Emeny,Ulberto,Emeny,uemeny2,Male,2836,48,7,2836,0,0,0,0,0
Gabriella Baldetti,Gabriella,Baldetti,gbaldettib4,Female,11,0,0,10,1,0,0,0,0
Jordan Hurcombe,Jordan,Hurcombe,jhurcombenw,Female,244,589,48,213,29,1,1,0,0
Lion Emberson,Lion,Emberson,lemberson1g,Male,5,0,0,4,1,0,0,0,0
Mandy O'Lenane,Mandy,O'Lenane,molenane57,Female,150,379,166,99,48,0,3,0,0
Kayle Admans,Kayle,Admans,kadmansot,Female,1,0,0,1,0,0,0,0,0
Winston Stothard,Winston,Stothard,wstothardgs,Male,232,1045,253,149,81,0,1,0,1
Shanie Chadbourne,Shanie,Chadbourne,schadbourne80,Female,2137,44,3,2137,0,0,0,0,0
Sheba Yakobowitch,Sheba,Yakobowitch,syakobowitchnv,Female,285,1293,295,167,111,1,5,0,1
Stephenie Tarrier,Stephenie,Tarrier,starriergr,Female,192,417,40,168,22,1,1,0,0
Malchy Savill,Malchy,Savill,msavill71,Male,105,136,67,89,15,0,1,0,0
Myca Brightie,Myca,Brightie,mbrightiemy,Male,25,1,3,25,0,0,0,0,0
Laure Perrelli,Laure,Perrelli,lperrelli7b,Female,1179,902,532,975,152,46,3,2,1
Regen Antonutti,Regen,Antonutti,rantonuttihi,Male,910,5963,874,695,198,5,10,1,1
Vonnie Cossins,Vonnie,Cossins,vcossinsnq,Female,100,382,41,82,16,1,1,0,0
Hobey Warburton,Hobey,Warburton,hwarburton65,Male,27,2,0,24,0,0,3,0,0
Erena Newberry,Erena,Newberry,enewberrymd,Female,1,0,0,1,0,0,0,0,0
Emelita L'Archer,Emelita,L'Archer,elarcherjw,Female,8,0,0,8,0,0,0,0,0
Cointon Hubery,Cointon,Hubery,chuberyoa,Male,319,3053,403,213,98,4,2,2,0
Chicky Keunemann,Chicky,Keunemann,ckeunemannbm,Female,128,200,63,59,67,1,1,0,0
Raynell Virr,Raynell,Virr,rvirrq8,Female,211,2,4,211,0,0,0,0,0
Hedwiga Goodby,Hedwiga,Goodby,hgoodbyic,Female,426,5,70,422,2,1,1,0,0
Mozelle Carlile,Mozelle,Carlile,mcarlilea7,Female,498,3882,287,393,98,1,3,3,0
Sayre Metzing,Sayre,Metzing,smetzing58,Female,616,7130,734,528,81,3,2,2,0
Maxine Gaenor,Maxine,Gaenor,mgaenor4b,Female,150,4,0,150,0,0,0,0,0
Heywood Cattlow,Heywood,Cattlow,hcattlow8s,Male,211,859,109,169,34,4,1,2,1
Ozzie Note,Ozzie,Note,onoter8,Male,240,255,111,193,44,1,1,0,1
Robers Terbruggen,Robers,Terbruggen,rterbruggen2q,Male,196,12,0,196,0,0,0,0,0
Arly Stuckes,Arly,Stuckes,astuckesn0,Female,258,486,32,235,23,0,0,0,0
Deny Rowden,Deny,Rowden,drowden6k,Female,1249,0,0,1249,0,0,0,0,0
Jarvis Graeme,Jarvis,Graeme,jgraemehy,Male,4,0,0,4,0,0,0,0,0
Alvera Beasant,Alvera,Beasant,abeasantgb,Female,3,0,0,3,0,0,0,0,0
Marcille Madoc-Jones,Marcille,Madoc-Jones,mmadocjonesfm,Female,128,3,0,124,4,0,0,0,0
Barnie Dauber,Barnie,Dauber,bdauberd9,Male,128,164,79,109,18,1,0,0,0
Annamarie Jerson,Annamarie,Jerson,ajersonbt,Female,112,824,50,99,5,3,2,3,0
Marcellus Rawson,Marcellus,Rawson,mrawsoncb,Male,214,1550,388,157,56,1,0,0,0
Sammie Kisby,Sammie,Kisby,skisbydc,Male,119,139,18,109,7,3,0,0,0
Baldwin Duke,Baldwin,Duke,bdukeh7,Male,0,0,0,0,0,0,0,0,0
Adrea Rearden,Adrea,Rearden,areardenet,Female,8,0,0,8,0,0,0,0,0
Ryan Povall,Ryan,Povall,rpovallr0,Male,3,0,0,3,0,0,0,0,0
Raymond Crickmoor,Raymond,Crickmoor,rcrickmoorrn,Male,378,931,95,320,53,1,2,1,1
Darnell Gentiry,Darnell,Gentiry,dgentiry24,Male,165,395,180,116,45,0,3,1,0
Binni Kingdom,Binni,Kingdom,bkingdom6,Female,18,1,3,18,0,0,0,0,0
Alecia Stork,Alecia,Stork,astorkqg,Female,1078,9452,1379,820,234,8,10,3,3
Cory Bizley,Cory,Bizley,cbizleydj,Male,239,127,7,189,47,0,3,0,0
Melissa Dewhurst,Melissa,Dewhurst,mdewhurst7s,Female,5,0,0,5,0,0,0,0,0
Matthus Oxley,Matthus,Oxley,moxleyat,Male,359,2,37,355,3,1,0,0,0
Dareen Castelain,Dareen,Castelain,dcastelaink6,Female,74,10,0,74,0,0,0,0,0
Chrisse Ruppert,Chrisse,Ruppert,cruppert9j,Male,1134,1076,295,952,163,5,13,1,0
Hewet Bleas,Hewet,Bleas,hbleasdq,Male,135,26,0,123,9,0,2,1,0
Rochester Ades,Rochester,Ades,rades5l,Male,311,869,71,258,51,0,0,0,2
Neysa Fairlam,Neysa,Fairlam,nfairlami6,Female,106,1681,31,81,19,1,1,4,0
Robbie Ballam,Robbie,Ballam,rballam9h,Male,123,356,109,81,39,1,1,1,0
Virge Duffield,Virge,Duffield,vduffield6w,Male,253,0,51,250,3,0,0,0,0
Ossie Winger,Ossie,Winger,owinger3r,Male,215,784,161,154,57,0,3,1,0
Gabe Cassius,Gabe,Cassius,gcassiusbz,Male,154,455,199,98,53,0,3,0,0
Sarita Biles,Sarita,Biles,sbiles18,Female,246,17,1,246,0,0,0,0,0
Wolfy Spellacey,Wolfy,Spellacey,wspellaceylz,Male,117,18,1,116,1,0,0,0,0
Josh Iwanowski,Josh,Iwanowski,jiwanowski8t,Male,1013,24,0,1013,0,0,0,0,0
Wolfie Jervoise,Wolfie,Jervoise,wjervoise8v,Male,0,0,0,0,0,0,0,0,0
Laird Dorsey,Laird,Dorsey,ldorsey4m,Male,11,0,0,10,1,0,0,0,0
Jasen Girogetti,Jasen,Girogetti,jgirogettij0,Male,384,1789,210,280,92,2,6,1,3
Jamesy Ruter,Jamesy,Ruter,jruter4x,Male,517,5514,388,243,220,8,43,3,0
Liam Barden,Liam,Barden,lbarden7v,Male,64,107,39,57,7,0,0,0,0
Guthrie Kinsman,Guthrie,Kinsman,gkinsman90,Male,1,0,0,1,0,0,0,0,0
Fowler Paterno,Fowler,Paterno,fpaterno51,Male,114,1431,78,94,11,2,6,1,0
Vivianna Sprosson,Vivianna,Sprosson,vsprossonbo,Female,1,0,0,1,0,0,0,0,0
Evangelina Oldall,Evangelina,Oldall,eoldallco,Female,906,22,3,906,0,0,0,0,0
Andrej Tumilty,Andrej,Tumilty,atumiltyns,Male,637,8,1,637,0,0,0,0,0
Bethany Imos,Bethany,Imos,bimos7l,Female,196,637,223,111,81,1,2,1,0
Berte Emmitt,Berte,Emmitt,bemmitt2p,Female,160,1020,61,122,38,0,0,0,0
Jessy Farans,Jessy,Farans,jfarans8o,Female,73,0,2,73,0,0,0,0,0
Corney Burstowe,Corney,Burstowe,cburstoweip,Male,3,0,0,3,0,0,0,0,0
Nanny Checcucci,Nanny,Checcucci,ncheccucci4a,Female,65,4,1,65,0,0,0,0,0
Derrick Ivanilov,Derrick,Ivanilov,divanilovej,Male,480,3175,458,395,82,2,1,0,0
Britni Malmar,Britni,Malmar,bmalmarf9,Female,481,8601,337,415,57,0,5,4,0
Sigrid Boyford,Sigrid,Boyford,sboyford1z,Female,0,0,0,0,0,0,0,0,0
Devonne Fandrich,Devonne,Fandrich,dfandrichko,Female,150,568,30,110,38,1,1,0,0
Parke Abarough,Parke,Abarough,pabarough6v,Male,258,5,0,258,0,0,0,0,0
Basile Wythill,Basile,Wythill,bwythilli2,Male,297,1133,444,216,75,1,4,0,1
Kenna Adamov,Kenna,Adamov,kadamov42,Female,603,13,1,603,0,0,0,0,0
Lizzie MacIan,Lizzie,MacIan,lmacian1c,Female,3,0,0,3,0,0,0,0,0
Jourdan Bagger,Jourdan,Bagger,jbagger9,Female,242,715,242,193,49,0,0,0,0
Opalina Abelovitz,Opalina,Abelovitz,oabelovitzdt,Female,257,799,64,214,41,0,2,0,0
Fina Flintoff,Fina,Flintoff,fflintoff7p,Female,291,1169,257,161,123,2,4,0,1
Marys Padilla,Marys,Padilla,mpadillaat,Female,6,8,0,6,0,0,0,0,0
Roman O'Lahy,Roman,O'Lahy,rolahycc,Male,54,236,17,43,10,1,0,0,0
Reggis Stace,Reggis,Stace,rstace3m,Male,1517,1132,318,1348,145,12,7,1,4
Leigh Ondrus,Leigh,Ondrus,londrusod,Male,32,1,0,32,0,0,0,0,0
Deana Melbury,Deana,Melbury,dmelburyou,Female,240,1212,374,153,81,2,2,2,0
Katee Lethlay,Katee,Lethlay,klethlay6v,Female,24,0,1,24,0,0,0,0,0
Malynda Lattos,Malynda,Lattos,mlattosc1,Female,13,0,0,13,0,0,0,0,0
Ted Toohey,Ted,Toohey,ttoohey56,Male,149,429,117,95,50,2,2,0,0
Stephi Ninnis,Stephi,Ninnis,sninnisy,Female,856,5204,793,647,187,6,11,3,2
Jessamine Edds,Jessamine,Edds,jeddsgt,Female,180,307,217,153,25,0,1,0,1
Brent Caiger,Brent,Caiger,bcaiger9a,Male,779,9,0,779,0,0,0,0,0
Rickie Godley,Rickie,Godley,rgodley7w,Male,2,0,0,2,0,0,0,0,0
Wynne Axford,Wynne,Axford,waxford2s,Female,267,2606,269,227,26,4,7,3,0
Ralph Fassan,Ralph,Fassan,rfassanav,Male,109,5,1,104,5,0,0,0,0
Anni Cosely,Anni,Cosely,acoselyg8,Female,0,0,0,0,0,0,0,0,0
Madalena Cloughton,Madalena,Cloughton,mcloughtonqe,Female,835,3919,684,606,217,2,4,1,5
Giacopo Lofty,Giacopo,Lofty,glofty73,Male,287,9,0,287,0,0,0,0,0
Amargo Rainford,Amargo,Rainford,arainford9y,Female,37,0,6,37,0,0,0,0,0
Viola Manna,Viola,Manna,vmannac,Female,176,401,201,117,58,0,0,0,1
Tildy Holborn,Tildy,Holborn,tholbornbs,Female,17,0,0,17,0,0,0,0,0
Madelon Brazener,Madelon,Brazener,mbrazener1r,Female,265,664,191,160,101,1,1,1,1
Jerad Fairleigh,Jerad,Fairleigh,jfairleighia,Male,256,1435,429,217,34,4,0,1,0
Katina Crichmere,Katina,Crichmere,kcrichmeredk,Female,146,1569,316,89,49,0,4,3,1
Perice Aliman,Perice,Aliman,palimand0,Male,422,9831,592,362,45,7,6,2,0
Jedd Pindred,Jedd,Pindred,jpindredlt,Male,83,272,14,73,10,0,0,0,0
Robinia Grigoryev,Robinia,Grigoryev,rgrigoryevbu,Female,24,0,0,24,0,0,0,0,0
Stephine Darbey,Stephine,Darbey,sdarbey7z,Female,350,3917,178,278,61,5,4,2,0
Barth Frayne,Barth,Frayne,bfraynemm,Male,2,0,0,2,0,0,0,0,0
Abey Selman,Abey,Selman,aselmanl0,Male,621,16,8,621,0,0,0,0,0
Joey Ledgister,Joey,Ledgister,jledgister0,Male,26,0,0,25,1,0,0,0,0
Louella Loddon,Louella,Loddon,lloddon3i,Female,431,3450,533,329,90,2,9,0,1
Cross Dochon,Cross,Dochon,cdochongo,Male,1078,131,50,1078,0,0,0,0,0
Arley Bowland,Arley,Bowland,abowlandql,Male,16,0,4,16,0,0,0,0,0
Jaye Diloway,Jaye,Diloway,jdiloway5h,Male,42,0,0,41,1,0,0,0,0
Opalina Earry,Opalina,Earry,oearry1q,Female,204,1,0,204,0,0,0,0,0
Gerladina Clibbery,Gerladina,Clibbery,gclibberyj,Female,213,305,221,123,86,1,2,0,1
Molly Fanner,Molly,Fanner,mfannerh,Female,2,1,0,2,0,0,0,0,0
Amy Crayk,Amy,Crayk,acraykl4,Female,121,18,3,110,11,0,0,0,0
Imelda Dinsmore,Imelda,Dinsmore,idinsmore5n,Female,119,72,28,103,16,0,0,0,0
Dal Petegree,Dal,Petegree,dpetegreex,Male,185,519,301,134,46,0,4,1,0
Barthel Presho,Barthel,Presho,bpreshofl,Male,265,1343,450,224,26,12,3,0,0
Hagen Fasson,Hagen,Fasson,hfasson81,Male,66,178,11,55,9,0,1,1,0
Sonny Adne,Sonny,Adne,sadnequ,Male,3,0,0,3,0,0,0,0,0
Gothart Trinder,Gothart,Trinder,gtrinderm8,Male,111,45,0,110,1,0,0,0,0
Dulcine Wadlow,Dulcine,Wadlow,dwadlowee,Female,251,1145,261,112,133,3,2,1,0
Ginni Malkinson,Ginni,Malkinson,gmalkinsoni9,Female,324,4472,232,278,33,5,5,3,0
Constantina Dobell,Constantina,Dobell,cdobell16,Female,124,844,183,84,39,1,0,0,0
Trudy Haselhurst,Trudy,Haselhurst,thaselhurstg5,Female,2418,179,48,2418,0,0,0,0,0
Sergeant Ware,Sergeant,Ware,swarenp,Male,38,0,9,38,0,0,0,0,0
Aviva Toffel,Aviva,Toffel,atoffel6m,Female,242,744,193,154,85,0,3,0,0
Eb Romi,Eb,Romi,eromir8,Male,117,16,0,104,11,2,0,0,0
Brose Ansell,Brose,Ansell,bansell8x,Male,2374,8,9,2374,0,0,0,0,0
Joycelin Yukhnev,Joycelin,Yukhnev,jyukhnevb3,Female,249,481,24,225,19,2,3,0,0
Greggory Glozman,Greggory,Glozman,gglozman2j,Male,71,0,11,71,0,0,0,0,0
Merill O'Lennachain,Merill,O'Lennachain,molennachainiq,Male,55,83,1,52,1,0,2,0,0
Jammal Ahmad,Jammal,Ahmad,jahmad37,Male,1012,916,396,667,220,111,13,1,0
Alden Harvie,Alden,Harvie,aharvie9n,Male,12,1,4,12,0,0,0,0,0
Romona Cotter,Romona,Cotter,rcottereg,Female,64,0,13,63,0,1,0,0,0
Dino Beever,Dino,Beever,dbeeverr1,Male,0,0,0,0,0,0,0,0,0
Augusto Daveley,Augusto,Daveley,adaveleyp1,Male,57,0,0,56,1,0,0,0,0
Karmen Genny,Karmen,Genny,kgennyad,Female,640,31,2,640,0,0,0,0,0
Sigismundo Mountford,Sigismundo,Mountford,smountford45,Male,335,2112,597,201,131,1,2,0,0
Erskine Worshall,Erskine,Worshall,eworshalldy,Male,164,1819,163,95,61,1,6,0,1
Andi Quarrington,Andi,Quarrington,aquarringtonnz,Female,407,4225,179,318,55,4,26,4,0
Francene Jeffels,Francene,Jeffels,fjeffelsgb,Female,3,0,0,3,0,0,0,0,0
Denys Nissle,Denys,Nissle,dnissle2u,Female,3,0,0,3,0,0,0,0,0
Mirabel Knaggs,Mirabel,Knaggs,mknaggs3j,Female,58,0,19,58,0,0,0,0,0
Conway Luttgert,Conway,Luttgert,cluttgertn4,Male,1,0,1,1,0,0,0,0,0
Berkeley Twiddle,Berkeley,Twiddle,btwiddle8,Male,1220,1478,905,1071,131,8,2,6,2
Juli Clymo,Juli,Clymo,jclymohe,Female,154,72,6,124,24,3,2,1,0
Anatol Rosnau,Anatol,Rosnau,arosnau5l,Male,179,3343,147,160,17,1,1,0,0
Fanechka Hugueville,Fanechka,Hugueville,fhugueville33,Female,61,0,0,61,0,0,0,0,0
Corrina Loosmore,Corrina,Loosmore,cloosmoreoy,Female,223,1950,433,155,64,1,0,1,2
Den Batchelour,Den,Batchelour,dbatchelourpq,Male,333,1307,492,233,96,1,2,0,1
Nigel Habden,Nigel,Habden,nhabdenee,Male,5,0,0,5,0,0,0,0,0
Ulrike Menzies,Ulrike,Menzies,umenzies4e,Female,1923,234,5,1923,0,0,0,0,0
Shirlene Judron,Shirlene,Judron,sjudrond2,Female,3,2,0,3,0,0,0,0,0
Hi Shulem,Hi,Shulem,hshulemfs,Male,452,5,0,452,0,0,0,0,0
Maritsa Asipenko,Maritsa,Asipenko,masipenkocu,Female,190,511,197,142,46,0,1,0,1
Corina Bosdet,Corina,Bosdet,cbosdetcd,Female,5,0,0,5,0,0,0,0,0
Towney Quibell,Towney,Quibell,tquibelln,Male,4,0,0,4,0,0,0,0,0
Adelle Hourston,Adelle,Hourston,ahourstonpf,Female,188,6,0,188,0,0,0,0,0
Jules Lowdiane,Jules,Lowdiane,jlowdianecv,Male,105,10,0,105,0,0,0,0,0
Andria Fielden,Andria,Fielden,afieldenqp,Female,266,165,10,215,42,3,4,2,0
Xylina Grasner,Xylina,Grasner,xgrasner2o,Female,20,0,1,20,0,0,0,0,0
Nils Mattocks,Nils,Mattocks,nmattockscm,Male,200,417,139,109,87,1,2,1,0
Gale Heaslip,Gale,Heaslip,gheaslip6w,Female,147,13,2,147,0,0,0,0,0
Leola Durn,Leola,Durn,ldurn7s,Female,412,1485,452,288,121,1,1,0,1
Arte Casoni,Arte,Casoni,acasonira,Male,267,516,73,211,52,3,0,1,0
Jae Simmins,Jae,Simmins,jsimmins1s,Male,164,136,48,146,15,2,0,1,0
Terrie Ramm,Terrie,Ramm,tramm35,Female,146,1839,101,131,11,0,2,2,0
Gayler Clail,Gayler,Clail,gclailo0,Male,241,938,282,134,102,0,5,0,0
Chad Treweek,Chad,Treweek,ctreweek7z,Male,914,7013,1011,584,251,57,17,3,2
Hilary Darben,Hilary,Darben,hdarbenll,Male,57,366,13,49,5,0,3,0,0
Elysee Steven,Elysee,Steven,esteven92,Female,151,218,230,112,34,3,2,0,0
Kaleb Hustings,Kaleb,Hustings,khustingsbb,Male,2,0,0,2,0,0,0,0,0
Franchot Sawday,Franchot,Sawday,fsawday7b,Male,31,4,0,31,0,0,0,0,0
Nerti Vitte,Nerti,Vitte,nvitte4h,Female,51,0,13,51,0,0,0,0,0
Becki Piller,Becki,Piller,bpillerlj,Female,1989,36,5,1989,0,0,0,0,0
Craggy Pratten,Craggy,Pratten,cpratten1z,Male,357,7,1,357,0,0,0,0,0
Ignaz MacCulloch,Ignaz,MacCulloch,imacculloch16,Male,774,25,7,774,0,0,0,0,0
Charita Bloxsum,Charita,Bloxsum,cbloxsumkl,Female,0,0,0,0,0,0,0,0,0
Marsiella Puffett,Marsiella,Puffett,mpuffett7e,Female,177,373,227,141,34,1,1,0,0
Schuyler Veall,Schuyler,Veall,sveallfy,Male,245,169,37,205,33,5,2,0,0
Erhart Laval,Erhart,Laval,elavale5,Male,26,0,5,26,0,0,0,0,0
